"To upgrade","Para atualizar"
"No Multibanco Entities found","Entidades Multibanco não encontradas"
"Select a Multibanco Key","Selecione uma chave Multibanco"
"Select a Multibanco Sub Entity","Selecione uma Sub Entidade Multibanco"
"No Multibanco Sub Entities found","Sub Entidades Multibanco não encontradas"
"Select a payshop key","Selecione uma chave Payshop"
"No payshop keys found","Chaves Payshop não encontradas"
"Select a Pix key","Selecione uma chave Pix"
"No Pix keys found","Chaves de Pix não encontradas"
"Default","Imagem por defeito"
"Title","Título"
"Composite","Compósito"
"New version %1 update is available!","Atualização para nova versão %1 já está disponível!"
"For more information about this upgrade's changelog, check the module's GitHub release page at ","Para mais informação acerca das alterações introduzidas nesta atualização, consulte a página do GitHub em "
"GitHub link","GitHub link"
"Callback Activated","Callback Ativado"
"Callback not Activated","Callback Desativado"
"Anti-Phishing Key","Chave Anti-Phishing"
"Callback Url","Url de Callback"
"This payment module is not available in store scope.","Este módulo de pagamento não está disponível no escopo de loja.
"Pay by Credit Card","Pagar por Cartão de Crédito"
"Logo","Logo"
"Processed by ifthenpay","Processado por ifthenpay"
"Pay by Cofidis Pay","Pagar por Cofidis Pay"
"Pay by Ifthenpay Gateway","Pagar por Ifthenpay Gateway"
"Confirm payment in MB WAY App","Confirme o pagamento na aplicação MB WAY"
"If you do not confirm payment within 4 minutes, the payment notification will expire.","Se não confirmar o pagamento dentro de 4 minutos, a notificação de pagamento expirará."
"Order Paid!","Encomenda Paga!"
"Payment confirmed.","Pagamento confirmado."
"MB WAY payment refused!","Pagamento MB WAY recusado!"
"Order payment refused from MB WAY App.","Pagamento de encomenda recusado na aplicação MB WAY."
"MB WAY payment failed!","Pagamento por MB WAY falhou!"
"Order payment by MB WAY failed either from incorrect phone number or SIBS downtime.","O pagamento da encomenda através do MB WAY falhou devido a um número de telefone incorreto ou à indisponibilidade do SIBS."
"Out of Time!","Acabou o Tempo!"
"Request another payment notification to your smartphone by clicking the Resend MB WAY notification below.","Solicite outra notificação de pagamento para o seu smartphone clicando em Reenviar notificação MB WAY abaixo."
"Pay by MB WAY","Pagar por MB WAY"
"Order","Encomenda"
"Did not receive MB WAY notification?","Não recebeu notificação MB WAY?"
"Resend MB WAY notification","Reenviar notificação MB WAY"
"Pay by Multibanco","Pagar por Multibanco"
"Pay by Payshop","Pagar por Payshop"
"Pay by Pix","Pagar por Pix"
"placeOrder","Fazer Encomenda"
"cofidisDescLine1","COFIDIS PAY"
"cofidisDescLine2"," - até 12 prestações sem juros"
"cofidisDescLine3","Será redirecionado para uma página segura a fim de efetuar o pagamento."
"cofidisDescLine4","Pague a sua encomenda em prestações sem juros nem encargos através do seu cartão de débito ou crédito."
"cofidisDescLine5","O pagamento das prestações será efetuado no cartão de débito ou crédito do cliente através de solução de pagamento assente em contrato de factoring entre a Cofidis e o Comerciante. Informe-se na Cofidis, registada no Banco de Portugal com o n 921."
"Name","Nome"
"CPF","CPF"
"Email","Email"
"Address","Morada"
"Street Number","Número de Rua"
"City","Cidade"
"Zip/Postal Code","Código Postal"
"State","Estado"
"resetBackofficeKey","Limpar Chave de Backoffice"
"atentionResetBackofficeKey","Atenção, esta ação irá limpar não apenas a Chave do Backoffice, mas também as configurações atuais do módulo Ifthenpay associadas à atual Chave."
"requestAccount","Requerer Conta"
"requestAccountFor","Requerer uma conta para o método de pagamento "
"refreshAccounts","Atualizar contas"
"actionWillRefresh","Esta ação irá atualizar a lista de contas."
"selectMultibancoKey","Selecione uma Chave Multibanco"
"selectMultibancoSubEntity","Selecione uma Sub Entidade Multibanco"
"multibancoKey","Chave Multibanco"
"subEntity","Sub Entidade"
"multibanco","Multibanco"
"mbway","MB WAY"
"payshop","Payshop"
"ccard","Cartão de Crédito"
"mb","Multibanco Dinâmico"
"cofidis","Cofidis Pay"
"ifthenpaygateway","Ifthenpay Gateway"
"sureRefundAmount","Confirma que pretende devolver o valor de "
"operationIrreversible","Esta operação é irreversível."
"paymentRefund","Devolução de Pagamento"
"checkEmailToken","Verifique o seu email e introduza o token de segurança em baixo."
"securityCode","Código de Segurança"
"somethingWrong","Ocurreu um erro, por favor volte a tentar"
"error","Erro!"
"mbwayPhoneRequired","Número de telefone MB WAY é obrigatório."
"mbwayPhoneInvalid","Número de telefone MB WAY inválido."
"pixNameRequired","O campo Nome do Pix é obrigatório."
"pixCpfRequired","O campo CPF do Pix é obrigatório."
"pixCpfInvalid","O campo Nome do Pix está inválido."
"pixEmailRequired","O campo Email do Pix é obrigatório."
"pixEmailInvalid","O campo Email do Pix está inválido."
"success","Sucesso!"
"ifthenpay","ifthenpay"
"Available Update","Atualização Disponível"
"Click to insert new backoffice key, this action will reset the current configuration","Clique para inserir uma nova chave de backoffice. Essa ação irá limpar a configuração atual."
"Backoffice key","Chave Backoffice"
"Insert Backoffice Key provided by ifthenpay.","Insira a Chave Backoffice providenciada por ifthenpay."
"Multibanco","Multibanco"
"Request Multibanco Account","Requerer Conta Multibanco"
"Don't have Multibanco account? Click to request Multibanco account.","Não tem conta Multibanco? Clique para requerer conta Multibanco"
"Enabled","Habilitado"
"Display payment method Icon on Checkout","Exibir Ícone de método de pagamento no checkout"
"Activate Callback","Ativar Callback"
"When Callback is enabled ifthenpay's servers communicate with your store to update order status.","Quando o Callback está habilitado, os servidores da ifthenpay comunicam com a sua loja para atualizar o estado da encomenda."
"Sub Entity","Sub Entidade"
"Request Dynamic Multibanco","Requerer Multibanco Dinâmico"
"Don't have a Dynamic Multibanco account? Click to request Dynamic Multibanco account.","Não tem conta Multibanco Dinâmica? Clique para requerer uma conta Multibanco Dinâmica."
"Send Invoice Email","Enviar Email de Fatura"
"Send invoice email after receiving payment.","Enviar Email de Fatura após receber pagamento."
"Minimum Order Value","Valor Mínimo de Encomenda"
"Display this payment method for orders with value greater or equal to this value. Leave empty to allow any.","Exiba este método de pagamento para encomendas com valor igual ou superior a este valor. Deixe em branco para permitir qualquer valor."
"Maximum Order Value","Valor Máximo de Encomenda"
"Display this payment method for orders with value lesser or equal to this value. Leave empty to allow any.","Exiba este método de pagamento para encomendas com valor igual ou inferior a este valor. Deixe em branco para permitir qualquer valor."
"Payment from Applicable Countries","Restringir Pagamento a Países"
"Payment from Specific Countries","Pagamento de países específicos"
"Sort Order","Ordenação"
"MB WAY","MB WAY"
"Request MB WAY Account","Requerer Conta MB WAY"
"Don't have MB WAY account? Click to request MB WAY account.","Não tem conta MB WAY? Clique para requerer uma conta MB WAY."
"Display Countdown on Checkout","Exibir Contagem Decrescente no Checkout"
"When Callback is enabled ifthenpay's servers comunicate with your store to update order status.","Quando o Callback está ativo, os servidores ifthenpay comunicam com a sua loja para alterar o estado da encomenda."
"MB WAY Key","Chave MB WAY"
"Allow refund","Permitir devolução"
"Enable online refund in order Credit Memo.","Habilitar devolução online em Credit Memo de encomenda."
"Payshop","Payshop"
"Request Payshop Account","Requerer Conta Payshop"
"Don't have Payshop account? Click to request Payshop account.","Não tem conta Payshop? Clique para requerer uma conta Payshop."
"Payshop Key","Chave Payshop"
"Credit Card","Cartão de Crédito"
"Request Credit Card Account","Requerer Conta Cartão de Crédito"
"Don't have Credit Card account? Click to request Credit Card account.","Não tem conta Cartão de Crédito? Clique para requerer uma conta Cartão de Crédito."
"Ccard Key","Chave Ccard"
"Cofidis Pay","Cofidis Pay"
"Request Cofidis Pay Account","Requerer Conta Cofidis Pay"
"Don't have Cofidis Pay account? Click to request Cofidis Pay account.","Não tem conta Cofidis Pay? Clique para requerer uma conta Cofidis Pay."
"Cofidis Pay Key","Chave Cofidis Pay"
"Display this payment method for orders with value greater or equal to this value. This field will load the value set in ifthenpay's backoffice. When editing this value make sure to keep within the limits of the values set in ifthenpay's backoffice.","Exiba este método de pagamento para encomendas com valor igual ou superior a este valor. Este campo carregará o valor configurado no backoffice da ifthenpay. Ao editar este valor, certifique-se que não ultrapassa os limites dos valores definidos no backoffice da ifthenpay."
"Display this payment method for orders with value lesser or equal to this value. This field will load the value set in ifthenpay's backoffice. When editing this value make sure to keep within the limits of the values set in ifthenpay's backoffice.","Exiba este método de pagamento para encomendas com valor igual ou inferior a este valor. Este campo carregará o valor configurado no backoffice da ifthenpay. Ao editar este valor, certifique-se que não ultrapassa os limites dos valores definidos no backoffice da ifthenpay."
"Pix","Pix"
"Request Pix Account","Requerer Conta Pix"
"Don't have Pix account? Click to request Pix account.","Não tem conta Pix? Clique para requerer uma conta Pix.
"Pix Key","Chave Pix"
"Ifthenpay Gateway","Ifthenpay Gateway"
"Request Ifthenpay Gateway Account","Requerer Conta Ifthenpay Gateway"
"Don't have Ifthenpay Gateway account? Click to request Ifthenpay Gateway account.","Não tem conta Ifthenpay Gateway? Clique para requerer uma conta Ifthenpay Gateway."
"Ifthenpay Gateway Key","Chave Ifthenpay Gateway"
"Gateway Payment Methods","Métodos de Pagamento de Gateway"
"Gateway Default Payment Method","Método de Pagamento por defeito de Gateway"
"Choose the number of days (from 1 to 99), leave empty if you do not want expiration.","Escolha o número de dias (de 1 a 99), deixe vazio se não pretender expiração."
"Gateway Close Button Text","Texto do botão Fechar da Gateway"
"Replaces the return button text in the gateway page. Leave empty to use default.","Substitui o texto do botão de regressar na página da gateway. Deixe vazio para usar texto por defeito."



"ifthenpay Multibanco: Entity and Sub Entity are required fields. Please fill all required fields before activating the payment method.","ifthenpay Multibanco: Entidade e Sub Entidade são campos obrigatórios. Por favor preencha todos os campos obrigatórios antes de ativar o método de pagamento."
"ifthenpay Multibanco: Multibanco Key is a required field. Please fill all required fields before activating the payment method.","ifthenpay Multibanco: Chave Multibanco é um campo obrigatório. Por favor preencha todos os campos obrigatórios antes de ativar o método de pagamento."
"ifthenpay Mbway: MB WAY Key is a required field. Please fill all required fields before activating the payment method.","ifthenpay Mbway: Chave MB WAY é um campo obrigatório. Por favor preencha todos os campos obrigatórios antes de ativar o método de pagamento."
"ifthenpay Payshop: Payshop Key is a required field. Please fill all required fields before activating the payment method.","ifthenpay Payshop: Chave Payshop é um campo obrigatório. Por favor preencha todos os campos obrigatórios antes de ativar o método de pagamento."
"ifthenpay Ccard: Ccard Key is a required field. Please fill all required fields before activating the payment method.","ifthenpay Ccard: Chave Ccard é um campo obrigatório. Por favor preencha todos os campos obrigatórios antes de ativar o método de pagamento."
"ifthenpay Cofidis: Cofidis Key is a required field. Please fill all required fields before activating the payment method.","ifthenpay Cofidis Pay: Chave Cofidis Pay é um campo obrigatório. Por favor preencha todos os campos obrigatórios antes de ativar o método de pagamento."
"ifthenpay Ifthenpaygateway: Ifthenpaygateway Key is a required field. Please fill all required fields before activating the payment method.","ifthenpay Ifthenpay Gateway: Chave Ifthenpay Gateway é um campo obrigatório. Por favor preencha todos os campos obrigatórios antes de ativar o método de pagamento."
"ifthenpay Pix: Pix Key is a required field. Please fill all required fields before activating the payment method.", "ifthenpay Pix: Chave Pix é um campo obrigatório. Por favor preencha todos os campos obrigatórios antes de ativar o método de pagamento."
"ifthenpay Multibanco: Minimum Order Value must be lesser than Maximum Order Value.","ifthenpay Multibanco: O valor mínimo de encomenda deve ser menor que o valor máximo."
"ifthenpay Mbway: Minimum Order Value must be lesser than Maximum Order Value.","ifthenpay Mbway: O valor mínimo de encomenda deve ser menor que o valor máximo."
"ifthenpay Payshop: Minimum Order Value must be lesser than Maximum Order Value.","ifthenpay Payshop: O valor mínimo de encomenda deve ser menor que o valor máximo."
"ifthenpay Ccard: Minimum Order Value must be lesser than Maximum Order Value.","ifthenpay Ccard: O valor mínimo de encomenda deve ser menor que o valor máximo."
"ifthenpay Pix: Minimum Order Value must be lesser than Maximum Order Value.", "ifthenpay Pix: O valor mínimo de encomenda deve ser menor que o valor máximo."
"ifthenpay Cofidis: Minimum Order Value must be lesser than Maximum Order Value.","ifthenpay Cofidis Pay: O valor mínimo de encomenda deve ser menor que o valor máximo."
"ifthenpay Ifthenpaygateway: Minimum Order Value must be lesser than Maximum Order Value.","ifthenpay Ifthenpay Gateway: O valor mínimo de encomenda deve ser menor que o valor máximo."
"ifthenpay Cofidis: Minimum Order Value must be greater or equal to value defined in ifthenpay backoffice.","ifthenpay Cofidis Pay: O valor mínimo de encomenda deve ser maior ou igual ao valor definido no backoffice ifthenpay."
